,Country Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Algeria,1530,1590,1670,1730,1930,2250,2710,3110,3600,4210,4290,4470,4600,5200,5520,5490,4850,4370,3950,3980,4010
1,Argentina,7580,7470,7000,4040,3650,3370,4260,5480,6510,7670,7790,9270,10710,11870,12840,12330,12590,12220,13140,12430,11250
2,Australia,21440,21130,20160,20030,21170,25570,30390,34150,37340,42360,44050,46690,50380,60260,66050,65180,60490,54090,51480,53070,54910
3,Bangladesh,420,440,440,440,460,510,550,570,610,660,730,800,890,970,1040,1110,1220,1370,1520,1750,1930
4,Canada,21210,22620,23030,23610,25860,29900,34810,38510,43090,45650,43230,44490,47190,51080,52800,52200,47590,43890,42900,45080,46550
5,Brazil,4120,3930,3350,3100,2990,3350,4000,4850,6190,7620,8320,9650,11080,12310,12790,12120,10190,8920,8700,9170,9270
6,China,860,940,1010,1110,1280,1510,1760,2060,2510,3100,3680,4340,5040,5910,6740,7470,7890,8210,8670,9540,10310
7,Denmark,33060,32580,31410,30850,34750,42640,49610,53540,55740,60390,60090,61220,61990,61650,63200,63670,60510,58040,56690,61260,63460
8,"Egypt, Arab Rep.",1310,1420,1430,1330,1240,1200,1220,1320,1530,1840,2120,2370,2560,2840,3030,3230,3340,3440,3030,2790,2690
9,France,25420,24970,23840,23090,25930,31360,35870,37850,40130,43460,43930,43850,44350,43380,43780,43320,41100,39070,38270,41150,42510
10,Greece,,,,,,,,24550,26350,28660,29330,27530,24510,23170,22410,21990,20170,18630,17940,19060,19650
11,Indonesia,570,580,720,790,900,1080,1220,1380,1600,1940,2150,2530,3010,3580,3730,3620,3430,3400,3530,3840,4050
12,India,440,440,450,460,520,610,710,790,910,1000,1120,1220,1360,1480,1520,1560,1600,1680,1820,2010,2120
13,"Iran, Islamic Rep.",1740,1760,1790,1880,2200,2520,2960,3480,4270,4970,5560,6250,6870,7130,6990,6500,5370,5500,5420,4530,3640
14,Japan,34320,36810,37380,35360,35660,39000,41280,40590,39310,39380,39230,43910,47470,50060,48850,44440,39380,38490,38990,41850,42330
15,Luxembourg,46520,45650,44950,42400,45930,62490,73070,71300,85660,85830,70430,77410,79040,87890,85120,86710,73480,73670,75710,79440,77040
16,Morocco,1410,1390,1400,1370,1540,1830,2070,2240,2380,2700,2880,2930,3000,2980,3090,3060,3020,2880,2880,3090,3200
17,Mexico,5510,6210,6740,7100,7360,7820,8050,8690,9250,9780,8820,9040,9310,10050,10270,10500,10160,9390,8920,9180,9470
18,Norway,35540,36540,38220,39890,44750,54140,63830,70020,78470,87470,87830,88490,90330,99110,104190,104370,92910,81370,75650,80320,81640
19,New Zealand,15040,14080,13810,14170,16960,21500,25440,26400,28150,28630,29690,29680,32230,36700,39930,41680,40650,39440,38910,41680,42870
20,Peru,2030,1970,1900,1960,2080,2280,2540,2810,3210,3790,3970,4410,4970,5790,6420,6530,6340,6110,6060,6470,6790
21,Poland,4440,4670,4710,4900,5500,6250,7340,8460,9940,11980,12500,12740,12890,13160,13390,13560,13310,12720,12730,14150,15360
22,United States,33670,35960,36720,37310,39780,43520,46180,47850,48520,49090,47830,49140,50630,52780,53980,55800,56640,57130,59240,63490,65970
23,World,5333.583867,5520.322295,5498.241909,5454.419028,5854.965938,6672.135502,7391.728076,7887.103333,8407.423636,9004.979089,9036.109062,9470.278851,9941.134658,10522.58942,10894.35943,11005.71578,10650.36429,10391.86198,10464.82792,11148.93049,11552.73278
24,South Africa,3480,3420,3190,2990,3280,4180,5610,6310,6630,6660,6510,6880,7760,8370,8070,7370,6610,5990,5910,6340,6670
